mes,codigo_producto,metodo,prediccion,inferior,superior,half_width,alpha_aci
2025-03-01,TG00047NA04P,ANIO_ANTERIOR,0.0,0.0,2.0,2.0,0.11000000000000004
2025-03-01,TG00047NB04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NC04P,ANIO_ANTERIOR,0.0,0.0,1.0,1.0,0.11000000000000004
2025-03-01,TG00047ND04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NE04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NES4P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NF04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NG04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NGU4P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NH04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NI04P,ANIO_ANTERIOR,0.0,0.0,3.0,3.0,0.11000000000000004
2025-03-01,TG00047NJ04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NK04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NL04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NM04P,ANIO_ANTERIOR,0.0,0.0,1.0,1.0,0.11000000000000004
2025-03-01,TG00047NN04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NNN4P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NP04P,ANIO_ANTERIOR,0.0,0.0,1.0,1.0,0.11000000000000004
2025-03-01,TG00047NQ04P,ANIO_ANTERIOR,0.0,0.0,1.0,1.0,0.11000000000000004
2025-03-01,TG00047NR04P,ANIO_ANTERIOR,0.0,0.0,0.0,0.0,0.16000000000000006
2025-03-01,TG00047NS04P,ANIO_ANTERIOR,0.0,0.0,1.0,1.0,0.11000000000000004
