codigo_producto,metodo,tiene_hiperparametros,n_scores_aci,alpha_aci
TG000725ALQP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALRE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALRE1,ANIO_ANTERIOR,False,12,0.05500000000000002
TG000725ALRE2,ANIO_ANTERIOR,False,12,0.025000000000000005
TG000725ALRESR,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725ALRP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALRP1,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725ALRP2,ANIO_ANTERIOR,False,12,0.060000000000000026
TG000725ALSE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALSP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALTE,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725ALTP,ANIO_ANTERIOR,False,12,0.020000000000000004
TG000725ALVP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALWP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ALYE,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725ALYP,ANIO_ANTERIOR,False,12,0.015000000000000001
TG000725ARAE,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARAP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARAP1,ANIO_ANTERIOR,False,12,0.010000000000000016
TG000725ARAP2,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725ARFP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARIP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARME,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARMP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARMP1,ANIO_ANTERIOR,False,12,0.11000000000000004
TG000725ARMP2,ANIO_ANTERIOR,False,12,0.010000000000000016
TG000725ARQP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARRP,ANIO_ANTERIOR,False,12,0.16000000000000006
TG000725ARRP1,ANIO_ANTERIOR,False,12,0.01
